time,year,FIN,SWE,NOR,DEN,BAL
06.01.2018 03:00 - 06.01.2018 04:00,2018,9298,16130,17440,3142,2700
06.01.2018 04:00 - 06.01.2018 05:00,2018,9377,16257,17481,3168,2792
06.01.2018 05:00 - 06.01.2018 06:00,2018,9551,16307,17517,3232,3034
06.01.2018 06:00 - 06.01.2018 07:00,2018,9645,16894,17942,3410,3386
06.01.2018 07:00 - 06.01.2018 08:00,2018,9985,17620,18397,3676,3636
06.01.2018 08:00 - 06.01.2018 09:00,2018,10018,18381,19174,3999,3796
06.01.2018 09:00 - 06.01.2018 10:00,2018,10092,18760,19723,4233,3900
06.01.2018 10:00 - 06.01.2018 11:00,2018,10336,19124,20133,4370,3907
06.01.2018 11:00 - 06.01.2018 12:00,2018,10444,19403,20233,4354,3873
06.01.2018 12:00 - 06.01.2018 13:00,2018,10386,19613,20121,4280,3863
06.01.2018 13:00 - 06.01.2018 14:00,2018,10459,19663,20068,4235,3826
