time,year,FIN,SWE,NOR,DEN,BAL
08.01.2018 14:00 - 08.01.2018 15:00,2018,0.6882189,0.503171678,0.593377208,0.088451066,0.393204299
08.01.2018 15:00 - 08.01.2018 16:00,2018,0.663142959,0.504868501,0.578449262,0.101891625,0.382412316
08.01.2018 16:00 - 08.01.2018 17:00,2018,0.637830626,0.503898068,0.572849911,0.125998767,0.376493261
08.01.2018 17:00 - 08.01.2018 18:00,2018,0.638994183,0.493883386,0.570730846,0.164772815,0.37776486
08.01.2018 18:00 - 08.01.2018 19:00,2018,0.624667738,0.47841356,0.57654603,0.214673252,0.405248117
08.01.2018 19:00 - 08.01.2018 20:00,2018,0.614928767,0.468421749,0.575107619,0.27384666,0.452402271
08.01.2018 20:00 - 08.01.2018 21:00,2018,0.613357081,0.455423914,0.58003704,0.326792797,0.4784484
08.01.2018 21:00 - 08.01.2018 22:00,2018,0.606846412,0.435462987,0.589705998,0.37702423,0.484292543
08.01.2018 22:00 - 08.01.2018 23:00,2018,0.598573069,0.373781481,0.591067483,0.434200991,0.483903945
08.01.2018 23:00 - 09.01.2018 00:00,2018,0.573359196,0.366651523,0.602050617,0.504692747,0.472911742
09.01.2018 00:00 - 09.01.2018 01:00,2018,0.558680282,0.360371325,0.606503848,0.5656944,0.456151479
09.01.2018 01:00 - 09.01.2018 02:00,2018,0.54631858,0.346326287,0.610975989,0.628542364,0.44339079
09.01.2018 02:00 - 09.01.2018 03:00,2018,0.488847557,0.329819573,0.600877173,0.690888961,0.448690555
09.01.2018 03:00 - 09.01.2018 04:00,2018,0.476588607,0.316676635,0.586572305,0.729365953,0.465856054
09.01.2018 04:00 - 09.01.2018 05:00,2018,0.456948402,0.311177432,0.572233408,0.764209102,0.469321944
09.01.2018 05:00 - 09.01.2018 06:00,2018,0.454340343,0.31399242,0.560384656,0.808174075,0.472724741
09.01.2018 06:00 - 09.01.2018 07:00,2018,0.428917653,0.332942035,0.554307776,0.850032235,0.49740916
09.01.2018 07:00 - 09.01.2018 08:00,2018,0.411581123,0.34916636,0.549974575,0.874826988,0.535301126
09.01.2018 08:00 - 09.01.2018 09:00,2018,0.404113832,0.35736065,0.546990777,0.887376609,0.562206687
09.01.2018 09:00 - 09.01.2018 10:00,2018,0.401004579,0.358826991,0.542525312,0.894580782,0.569505459
09.01.2018 10:00 - 09.01.2018 11:00,2018,0.362138832,0.36143128,0.557865569,0.909196933,0.547154056
09.01.2018 11:00 - 09.01.2018 12:00,2018,0.36441757,0.370849642,0.521971771,0.91815036,0.538472592
09.01.2018 12:00 - 09.01.2018 13:00,2018,0.353109257,0.376770398,0.499033214,0.92419753,0.550565485
09.01.2018 13:00 - 09.01.2018 14:00,2018,0.339711805,0.386481044,0.48703943,0.926634104,0.569420341
09.01.2018 14:00 - 09.01.2018 15:00,2018,0.30116316,0.392535219,0.491582022,0.925571451,0.575113075
09.01.2018 15:00 - 09.01.2018 16:00,2018,0.257462826,0.388354731,0.500161365,0.92467023,0.559935474
09.01.2018 16:00 - 09.01.2018 17:00,2018,0.211891257,0.377182223,0.496439027,0.922210255,0.527766172
09.01.2018 17:00 - 09.01.2018 18:00,2018,0.168392411,0.363519498,0.490185301,0.916439008,0.496751777
09.01.2018 18:00 - 09.01.2018 19:00,2018,0.140684686,0.349078109,0.485678408,0.903818623,0.47468701
09.01.2018 19:00 - 09.01.2018 20:00,2018,0.123405373,0.335238613,0.479142711,0.886221012,0.45713808
09.01.2018 20:00 - 09.01.2018 21:00,2018,0.118364132,0.325521166,0.476003374,0.868596927,0.439059033
09.01.2018 21:00 - 09.01.2018 22:00,2018,0.119767815,0.320022332,0.469651566,0.853659488,0.407482221
09.01.2018 22:00 - 09.01.2018 23:00,2018,0.125922295,0.368361754,0.457627246,0.79880467,0.386034413
09.01.2018 23:00 - 10.01.2018 00:00,2018,0.139468625,0.357082553,0.471300257,0.776521433,0.379532334
10.01.2018 00:00 - 10.01.2018 01:00,2018,0.142638879,0.348953775,0.48225952,0.764460948,0.374082499
10.01.2018 01:00 - 10.01.2018 02:00,2018,0.136807396,0.345703183,0.491981955,0.741156875,0.380909959
10.01.2018 02:00 - 10.01.2018 03:00,2018,0.128239131,0.341401465,0.499011767,0.68892514,0.385462074
10.01.2018 03:00 - 10.01.2018 04:00,2018,0.118591515,0.338431883,0.488001538,0.643078598,0.36519557
10.01.2018 04:00 - 10.01.2018 05:00,2018,0.111593917,0.331832653,0.482618624,0.583936323,0.344812945
